data,temp_max,temp_min,precipitacao_mm,vento_max_kmh,amplitude_termica,classificacao
2026-02-21,21.8,17.0,5.1,18.5,4.800000000000001,ameno
2026-02-22,22.6,16.5,2.1,17.3,6.100000000000001,ameno
2026-02-23,21.5,15.9,3.3,14.5,5.6,ameno
2026-02-24,26.2,17.8,9.7,12.4,8.399999999999999,quente
2026-02-25,25.8,18.0,16.4,14.1,7.800000000000001,quente
2026-02-26,24.0,17.6,4.8,14.6,6.399999999999999,ameno
2026-02-27,22.9,16.3,2.0,14.8,6.599999999999998,ameno
2026-02-28,24.3,14.0,0.7,13.9,10.3,ameno
2026-03-01,22.5,14.1,1.0,14.8,8.4,ameno
2026-03-02,23.0,13.4,0.8,11.7,9.6,ameno
2026-03-03,24.9,11.9,0.1,10.6,12.999999999999998,ameno
2026-03-04,26.6,15.1,0.0,12.9,11.500000000000002,quente
2026-03-05,26.5,13.9,0.0,12.8,12.6,quente
2026-03-06,27.8,14.6,0.0,14.0,13.200000000000001,quente
2026-03-07,28.8,16.7,0.9,11.6,12.100000000000001,quente
2026-03-08,26.0,17.9,21.5,16.2,8.100000000000001,quente
2026-03-09,21.6,16.7,5.0,16.2,4.900000000000002,ameno
2026-03-10,20.4,16.1,10.6,16.5,4.299999999999997,ameno
2026-03-11,21.1,16.4,8.3,16.2,4.700000000000003,ameno
2026-03-12,20.8,16.4,30.2,12.0,4.400000000000002,ameno
2026-03-13,25.2,15.7,0.0,10.9,9.5,quente
2026-03-14,26.3,17.4,0.2,13.5,8.900000000000002,quente
2026-03-15,28.9,17.2,0.1,11.0,11.7,quente
2026-03-16,27.9,19.0,2.0,10.5,8.899999999999999,quente
2026-03-17,29.5,17.7,0.0,13.7,11.8,quente
2026-03-18,26.9,18.5,12.8,8.1,8.399999999999999,quente
2026-03-19,26.0,18.4,2.4,11.1,7.600000000000001,quente
2026-03-20,27.4,17.2,0.1,14.9,10.2,quente
2026-03-21,28.6,16.9,0.0,11.8,11.700000000000003,quente
2026-03-22,27.0,20.4,12.7,11.5,6.600000000000001,quente
2026-03-23,26.6,19.0,1.8,8.9,7.600000000000001,quente
